16067015 101 18758 1806 12370 1362.98 51209 31.16 242169 1.00 7503 2577.70 55562 59.20 397453 1.00 11704 426.56 73623 9.20 143889 1.00 119342 1.00 71238 1.00 1650 1.00 1378 1450691.38 3851 1367.55 2477 306556.03 0000000000000000 production_pp200trans_2015
16067016 102 18758 1876 13403 1307.63 56157 29.89 256188 1.00 8163 2472.66 60672 56.83 418979 1.00 12972 404.83 80934 8.74 151980 1.00 129366 1.00 74819 1.00 1689 1.00 1486 1391364.62 4004 1311.25 2610 293362.84 0000000000000000 production_pp200trans_2015
16067017 103 18758 1818 13046 1231.36 53453 28.15 225453 1.00 7686 2327.94 56859 53.57 367090 1.00 12267 375.72 75465 8.13 130199 1.00 109484 1.00 66899 1.00 1645 1.00 1453 1309623.38 3979 1233.67 2554 275185.00 0000000000000000 production_pp200trans_2015
16067019 104 18758 1820 12348 1128.45 51194 25.80 199553 1.00 7630 2132.68 56317 49.16 334135 1.00 12492 337.88 76723 7.32 119298 1.00 98560 1.00 53596 1.00 1648 1.00 1475 1199334.12 4054 1129.00 2620 250658.53 0000000000000000 production_pp200trans_2015
16067020 105 18758 1832 12064 1114.20 49983 25.48 193435 1.00 7561 2105.64 55799 48.55 326382 1.00 12278 332.76 74381 7.21 114972 1.00 96539 1.00 51307 1.00 1641 1.00 1444 1184056.50 3906 1114.51 2561 247261.05 0000000000000000 production_pp200trans_2015
16067021 106 18758 1809 11857 1066.86 50060 24.40 181902 1.00 7315 2015.80 54038 46.52 305955 1.00 12348 315.97 75508 6.85 110202 1.00 87395 1.00 45650 1.00 1637 1.00 1476 1133316.62 3834 1066.35 2607 235977.39 0000000000000000 production_pp200trans_2015
16067022 107 18758 1686 11563 1016.50 47747 23.25 169044 1.00 7077 1920.25 52290 44.37 281634 1.00 11639 298.46 72838 6.47 98250 1.00 82140 1.00 42672 1.00 1528 1.00 1352 1079342.88 3482 1015.13 2403 223974.55 0000000000000000 production_pp200trans_2015
16068022 136 18761 2002 11830 1148.54 51244 26.26 218096 1.00 7997 2170.79 58701 50.02 352754 1.00 13933 345.14 97975 7.48 178434 1.00 106113 1.00 49341 1.00 1820 1.00 1620 1220856.75 4526 1149.43 2863 255444.81 0000000000000000 production_pp200trans_2015
16068023 137 18761 603 3642 1122.73 15779 25.67 64591 1.00 2383 2121.82 17450 48.92 102895 1.00 4178 335.82 29358 7.28 52459 1.00 30973 1.00 14915 1.00 540 1.00 467 1193200.75 1292 1123.18 815 249294.56 0000000000000000 production_pp200trans_2015
16068024 138 18761 1995 11187 1094.85 48919 25.04 199630 1.00 7773 2068.91 57080 47.72 328643 1.00 14030 325.86 98355 7.07 167644 1.00 98601 1.00 43750 1.00 1779 1.00 1529 1163314.38 4167 1094.82 2777 242648.38 0000000000000000 production_pp200trans_2015
16068025 139 18761 1033 5992 1074.24 26007 24.57 102952 1.00 4029 2029.82 29600 46.84 166521 1.00 7429 318.57 51720 6.91 86423 1.00 50288 1.00 23258 1.00 925 1.00 817 1141234.25 2224 1073.87 1457 237738.12 0000000000000000 production_pp200trans_2015
16068028 142 18761 839 5019 1052.81 21523 24.08 83024 1.00 3297 1989.15 24130 45.92 133039 1.00 5965 311.05 41762 6.75 68255 1.00 40100 1.00 18873 1.00 745 1.00 672 1118262.00 1804 1052.07 1194 232629.48 0000000000000000 production_pp200trans_2015
16068029 143 18761 2064 11678 987.68 51222 22.59 189413 1.00 8200 1865.56 60140 43.13 311685 1.00 14975 288.60 105572 6.26 161095 1.00 92823 1.00 38509 1.00 1876 1.00 1681 1048453.00 4522 985.82 3007 217105.16 0000000000000000 production_pp200trans_2015
16068030 144 18761 1917 11664 982.99 49806 22.48 180135 1.00 7542 1856.67 55096 42.93 284096 1.00 13738 287.01 99356 6.23 152518 1.00 87041 1.00 40493 1.00 1740 1.00 1477 1043434.75 4034 981.05 2624 215989.20 0000000000000000 production_pp200trans_2015
16068032 146 18761 1996 12115 968.01 51347 22.14 180625 1.00 7885 1828.24 57133 42.29 285703 1.00 14171 281.94 101127 6.11 151899 1.00 88146 1.00 41000 1.00 1823 1.00 1584 1027376.38 4218 965.81 2837 212418.11 0000000000000000 production_pp200trans_2015
16068034 148 18761 1818 10816 940.33 45838 21.51 153539 1.00 6909 1775.73 49886 41.11 241765 1.00 12730 272.65 88928 5.91 127641 1.00 73745 1.00 34613 1.00 1642 1.00 1423 997713.12 3881 937.66 2526 205821.50 0000000000000000 production_pp200trans_2015
16068035 149 18761 2021 10980 911.41 47412 20.85 160692 1.00 7626 1720.84 55050 39.87 258087 1.00 14676 263.05 105431 5.70 149138 1.00 77886 1.00 32093 1.00 1835 1.00 1623 966711.69 4319 908.24 2916 198927.33 0000000000000000 production_pp200trans_2015
16068036 150 18761 1814 10048 868.12 43641 19.86 142168 1.00 6908 1638.71 49830 38.02 223072 1.00 13695 248.89 100641 5.39 137075 1.00 67965 1.00 28214 1.00 1655 1.00 1491 920321.19 3850 864.22 2655 188610.83 0000000000000000 production_pp200trans_2015
16068037 151 18761 1481 5880 847.52 25725 19.39 81600 1.00 4161 1599.62 30013 37.13 131551 1.00 8169 242.24 60306 5.25 79640 1.00 39776 1.00 15577 1.00 973 1.00 898 898241.12 2332 843.26 1604 183700.58 0000000000000000 production_pp200trans_2015
16068038 152 18761 1854 10158 840.03 44444 19.22 138765 1.00 6929 1585.40 50080 36.81 217783 1.00 13679 239.84 99968 5.19 130594 1.00 65359 1.00 26952 1.00 1659 1.00 1491 890211.94 3962 835.64 2679 181915.03 0000000000000000 production_pp200trans_2015
16068039 153 18761 1842 10969 839.30 47084 19.20 144029 1.00 7062 1584.02 50818 36.78 220060 1.00 13760 239.60 100644 5.19 131409 1.00 68145 1.00 30422 1.00 1686 1.00 1476 889431.38 3883 834.90 2642 181741.44 0000000000000000 production_pp200trans_2015
16068040 154 18761 1264 6861 813.91 29776 18.62 90281 1.00 4851 1535.85 35082 35.69 147526 1.00 9395 231.51 67040 5.01 82819 1.00 44315 1.00 17297 1.00 1142 1.00 902 862221.56 2597 809.08 1864 175690.45 0000000000000000 production_pp200trans_2015
